ukprn,provider,total_students,international,fulltime_students,acc_provider_halls,acc_private_halls,acc_parental_home,acc_own_residence,acc_other_rented,acc_other
10042570,Escape Studios,860,35,860,0,60,550,110,95,20
10007791,The University of Essex,14015,4725,12315,4995,0,2440,1170,2455,1255
10002313,ESCP Europe Business School,890,870,890,20,80,15,25,270,60
10007792,The University of Exeter,33105,7365,27440,7450,5120,1020,2025,10480,405
10008640,Falmouth University,8185,335,6865,1590,215,1095,835,2965,50
10045476,Met Film School Limited,435,285,435,0,90,45,115,155,20
10004511,The National Film and Television School,585,135,455,0,0,55,90,285,20
10022087,Futureworks,415,5,415,0,110,200,15,90,0
10042500,Global Banking School Limited,1850,0,1850,30,30,420,725,425,230
10007762,Glasgow Caledonian University,22205,5040,19395,415,295,9315,3975,4015,655
10002681,Glasgow School of Art,2845,1040,2705,315,460,185,730,1010,0
10007794,The University of Glasgow,38710,13880,33890,5100,1670,7330,2720,15355,780
10007145,University of Gloucestershire,8135,1535,6810,1120,290,1450,1745,450,1455
10002718,Goldsmiths College,7910,3190,6955,980,335,1370,2695,1090,55
10030408,Gower College Swansea,30,0,,,,,,,
10006841,University of Greater Manchester,12570,3195,10750,0,495,2595,3990,850,2805
10007146,The University of Greenwich,29410,10165,25120,1230,900,9100,3650,7985,1530
10007825,Guildhall School of Music and Drama,1050,295,970,165,30,135,60,540,30
10040812,Harper Adams University,5285,135,2585,535,25,230,105,1465,70
10080811,Hartpury University,2550,220,2290,620,30,415,130,1045,50
10000163,Health Sciences University,2110,385,1615,30,125,405,230,750,55
10007764,Heriot-Watt University,9845,3075,8850,1990,325,2085,1280,2315,855
10007147,University of Hertfordshire,33575,19310,27220,4560,460,5615,3575,10475,2540
10020118,Higher Rhythm Limited,5,0,5,0,0,5,0,0,0
10007148,The University of Huddersfield,16360,2985,12180,0,2050,5135,4020,470,505
10007149,The University of Hull,14715,4400,11945,2255,1465,2905,1535,3165,470
10003239,ICON College of Technology and Management,2160,0,2160,0,0,0,275,0,1885
10003270,"Imperial College of Science, Technology and Medicine",22525,11905,21215,3905,1150,2115,3935,8445,1375
10003284,Inchbald School of Design Limited,25,15,20,0,0,5,15,5,0
10057622,The School of Information Risk Management,440,0,440,0,0,0,440,0,0
10013220,Institute of Art - London Limited,315,225,285,0,5,5,65,205,5
10067388,The Institute of Ismaili Studies,75,75,75,75,0,0,0,0,0
10035638,Institute of Contemporary Music Performance,2250,440,2185,15,200,785,560,435,110
10027603,International College of Musical Theatre,50,25,50,0,0,5,0,40,0
10082728,INTO University Partnerships Limited,110,105,105,20,0,0,80,0,0
10029682,The Islamic College,75,0,20,0,0,5,15,0,0
10067601,JSA Education Group Ltd.,95,20,95,0,10,35,0,40,5
10082570,Kaplan International Colleges U.K. Limited,885,880,885,90,300,15,0,475,0
10021682,Kaplan Open Learning (Essex) Limited,1805,5,,,,,,,
10007767,Keele University,13680,1160,10230,1835,525,3625,595,3400,235
10007150,The University of Kent,16070,2565,13845,4690,1545,2665,2315,2415,10
10083476,The King's Foundation,25,15,20,0,5,0,5,10,0
10003645,King's College London,40870,15690,33510,7005,1365,6315,6965,7490,2280
10003678,Kingston University,18815,4125,16440,2160,705,7045,3160,2055,855
10003746,Laine Theatre Arts,65,5,65,0,0,5,30,30,0
10003758,LAMDA Limited,490,240,380,0,15,55,125,150,30
10007141,University of Lancashire,23865,4895,18530,1505,2345,5840,4600,2650,1330
10007768,The University of Lancaster,18620,4165,17400,6395,1340,1120,1150,5715,1140
10003854,Leeds Arts University,2175,160,2115,0,880,275,90,850,25
10003861,Leeds Beckett University,22290,4250,19025,2170,910,4135,2535,8580,695
10003798,Le Cordon Bleu Limited,340,265,230,0,30,20,90,75,10
10034449,Leeds Conservatoire,1300,110,1300,5,290,90,115,695,105
10007795,The University of Leeds,34580,10890,32925,7390,20,2360,3240,16405,3175
10003863,Leeds Trinity University,13715,200,11910,410,170,1690,7520,550,1565
10082828,College of Legal Practice Limited,835,60,100,0,0,0,0,0,0
10007796,The University of Leicester,18990,3660,17445,3615,4190,3850,1235,4485,40
10007151,The University of Lincoln,19560,4015,16190,2710,3425,1505,1520,4850,1320
10007811,Lincoln Bishop University,2360,55,2085,175,10,515,505,415,350
10036456,Academy of Live Technology Ltd,185,0,175,0,0,55,15,100,0
10003956,Liverpool Hope University,5330,425,5020,995,290,1285,925,1115,410
10003957,Liverpool John Moores University,25650,2125,20835,0,4740,5655,2030,7365,815
10031239,LMA,1490,5,1490,35,310,420,175,515,30
10003945,The Liverpool Institute for Performing Arts,1095,220,1095,5,615,110,50,270,30
10006842,The University of Liverpool,31050,7495,27620,5480,9365,2600,1390,7545,1000
10003958,Liverpool School of Tropical Medicine,210,65,105,0,20,5,0,30,55
10007820,Grŵp Llandrillo Menai,825,0,230,0,0,95,135,0,0
10007162,"University of the Arts, London",22950,12385,22200,980,3280,3030,3565,10335,660
10013109,London Bridge Business Academy,160,0,160,0,0,0,0,160,0
10007769,London Business School,2275,1930,2020,5,470,70,225,1250,0
10030391,London Churchill College Ltd,1425,0,1425,0,0,0,1425,0,0
10007797,University of London (Institutes and activities),3280,135,110,10,5,20,45,20,5
10039082,City and Guilds of London Art School,305,35,260,0,0,90,65,100,0
10004036,London Film School Limited,300,255,300,0,0,10,20,270,0
10015506,The London College,725,0,725,0,0,0,720,0,0
10004048,London Metropolitan University,13665,3115,12185,0,300,2855,5600,3040,370
10032594,London School of Academics Ltd,120,0,120,0,0,0,120,0,0
10004078,London South Bank University,15760,2455,10375,735,65,2380,5995,635,340
