Sort,Station name,"Three Letter Code
(TLC)",National Location Code (NLC),Region,Local authority: district or unitary,Apr 1997 to Mar 1998,Apr 1998 to Mar 1999,Apr 1999 to Mar 2000,Apr 2000 to Mar 2001,Apr 2001 to Mar 2002,Apr 2002 to Mar 2003,Apr 2003 to Mar 2004,Apr 2004 to Mar 2005,Apr 2005 to Mar 2006,Apr 2006 to Mar 2007,Apr 2007 to Mar 2008,Apr 2008 to Mar 2009,Apr 2009 to Mar 2010,Apr 2010 to Mar 2011,Apr 2011 to Mar 2012,Apr 2012 to Mar 2013,Apr 2013 to Mar 2014,Apr 2014 to Mar 2015,Apr 2015 to Mar 2016,Apr 2016 to Mar 2017,Apr 2017 to Mar 2018,Apr 2018 to Mar 2019,Apr 2019 to Mar 2020,Apr 2020 to Mar 2021,Apr 2021 to Mar 2022,Apr 2022 to Mar 2023 [b],Apr 2023 to Mar 2024,Apr 2024 to Mar 2025
17,Achnashellach,ACH,8602,Scotland,Highland,822,734,525,481,586,664,[x],691,593,540,655,646,778,738,"1,084","1,054",976,800,"1,078",878,870,820,836,130,650,752,"1,004",890
18,Acklington,ACK,7662,North East,Northumberland,979,"1,452","1,596","2,011",471,727,[x],917,"1,137",985,948,778,268,108,192,184,176,206,296,204,372,320,246,66,324,434,550,856
19,Acle,ACL,7286,East of England,Broadland,"42,298","44,022","51,204","56,231","53,588","36,454",[x],"32,504","31,949","33,522","53,214","50,764","45,482","48,170","52,596","52,356","50,282","48,076","48,660","47,714","44,914","45,336","41,618","8,478","33,642","40,672","41,334","47,882"
20,Acocks Green,ACG,4529,West Midlands,Birmingham,"131,566","138,999","132,752","130,246","136,131","127,571",[x],"149,101","149,570","160,128","161,363","383,698","384,260","381,938","372,326","388,592","415,420","427,480","450,122","468,256","497,834","541,810","551,230","138,884","271,554","304,906","372,298","417,750"
21,Acton Bridge (Cheshire),ACB,2287,North West,Cheshire West and Chester,"7,196","5,916","6,562","4,181","3,473","4,607",[x],"2,709","4,162","8,913","11,373","14,480","13,658","17,242","20,044","15,732","16,612","17,486","20,236","20,092","21,058","22,578","27,976","8,482","30,838","33,040","44,682","54,980"
22,Acton Central,ACC,1404,London,Ealing,"160,334","523,270","598,042","615,291","644,984","700,862",[x],"358,142","416,037","1,334,016","1,373,736","1,112,142","956,922","1,339,536","1,818,018","2,238,244","2,837,592","2,940,598","1,891,098","1,931,864","1,907,986","1,887,162","1,753,806","727,052","1,332,790","1,499,036","1,558,028","1,574,010"
23,Acton Main Line,AML,3000,London,Ealing,"101,396","335,330","351,137","377,214","350,323","358,208",[x],"115,209","87,880","309,456","393,785","336,108","264,122","346,756","349,636","383,980","442,054","454,106","262,212","238,536","263,590","310,962","350,930","125,954","321,076","1,099,704","2,234,516","2,699,464"
24,Adderley Park,ADD,1036,West Midlands,Birmingham,"38,620","34,327","32,567","31,897","28,784","28,174",[x],"26,543","28,784","19,507","20,395","30,060","29,614","31,048","53,086","54,378","61,388","59,240","73,254","82,404","86,436","115,726","114,200","42,226","74,256","120,046","138,118","147,180"
25,Addiewell,ADW,9310,Scotland,West Lothian,"6,947","6,652","6,838","6,478","7,357","7,555",[x],"8,919","10,157","10,460","13,459","15,012","25,738","22,868","24,200","23,268","21,070","22,214","23,346","20,502","19,616","17,640","17,242","1,762","11,226","14,566","17,680","18,496"
26,Addiscombe,[z],[z],[z],[z],"1,705","1,408",[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z]
