Sort,Station name,"Three Letter Code
(TLC)",National Location Code (NLC),Region,Local authority: district or unitary,Apr 1997 to Mar 1998,Apr 1998 to Mar 1999,Apr 1999 to Mar 2000,Apr 2000 to Mar 2001,Apr 2001 to Mar 2002,Apr 2002 to Mar 2003,Apr 2003 to Mar 2004,Apr 2004 to Mar 2005,Apr 2005 to Mar 2006,Apr 2006 to Mar 2007,Apr 2007 to Mar 2008,Apr 2008 to Mar 2009,Apr 2009 to Mar 2010,Apr 2010 to Mar 2011,Apr 2011 to Mar 2012,Apr 2012 to Mar 2013,Apr 2013 to Mar 2014,Apr 2014 to Mar 2015,Apr 2015 to Mar 2016,Apr 2016 to Mar 2017,Apr 2017 to Mar 2018,Apr 2018 to Mar 2019,Apr 2019 to Mar 2020,Apr 2020 to Mar 2021,Apr 2021 to Mar 2022,Apr 2022 to Mar 2023 [b],Apr 2023 to Mar 2024,Apr 2024 to Mar 2025
407,Burnage,BNA,2945,North West,Manchester,"71,774","69,175","70,803","68,442","67,082","58,795",[x],"92,908","113,566","111,475","119,943","144,672","158,674","187,184","216,200","218,292","213,146","186,778","204,120","223,780","220,078","211,880","212,504","37,962","135,406","142,188","160,364","171,926"
408,Burneside (Cumbria),BUD,1975,North West,Westmorland and Furness,"8,295","11,143","13,619","13,176","8,795","6,213",[x],"7,759","9,392","9,561","12,394","13,776","16,112","18,040","17,282","17,434","15,996","14,258","16,066","14,260","18,048","14,112","22,016","8,508","17,618","16,918","22,240","28,192"
409,Burnham (Buckinghamshire),BNM,3176,South East,Slough,"586,084","667,237","793,177","877,271","841,312","848,686",[x],"822,267","836,673","883,590","917,630","959,666","947,050","1,058,996","1,117,064","1,160,278","1,226,532","1,285,000","1,297,344","1,317,976","1,260,118","1,396,596","1,408,170","388,348","919,150","1,257,832","1,566,076","1,725,890"
410,Burnham-On-Crouch,BUU,6873,East of England,Maldon,"268,351","267,113","296,893","292,721","296,387","287,747",[x],"280,714","263,798","275,532","267,416","269,948","246,856","261,164","253,852","256,628","293,876","278,924","261,292","249,402","242,162","241,362","233,108","39,922","152,944","162,970","193,182","227,510"
411,Burnley Barracks,BUB,2743,North West,Burnley,"1,395","1,106","1,997","1,067","1,106","1,070",[x],"1,103",964,"1,776","2,110","3,854","9,986","13,980","17,186","18,580","24,772","25,834","24,572","20,080","22,130","18,028","26,008","9,316","26,928","25,904","29,030","29,796"
412,Burnley Central,BNC,2550,North West,Burnley,"121,059","116,247","116,459","124,690","119,325","94,155",[x],"108,231","107,770","110,993","116,269","116,486","125,750","145,892","150,388","140,308","149,788","145,328","128,614","125,778","120,326","91,204","102,278","28,804","99,658","100,182","94,256","114,562"
413,Burnley Manchester Road,BYM,2549,North West,Burnley,"118,922","123,529","136,478","130,600","115,567","115,156",[x],"143,181","151,216","167,159","178,869","190,070","191,274","216,244","232,404","247,488","244,548","273,000","393,304","433,396","451,258","422,116","482,736","99,694","421,608","507,364","520,890","583,322"
414,Burnside (South Lanarkshire),BUI,9767,Scotland,South Lanarkshire,"238,222","265,138","264,625","251,009","245,918","249,715",[x],"265,978","273,199","281,779","289,795","309,398","312,644","328,082","337,056","318,628","270,748","275,500","270,746","276,012","282,282","272,764","263,304","30,194","132,112","182,226","215,682","225,114"
415,Burntisland,BTS,9107,Scotland,Fife,"93,134","100,231","122,596","128,499","120,343","122,095",[x],"144,395","147,859","160,626","173,771","188,878","192,694","191,946","201,562","194,210","206,058","222,476","236,342","229,442","231,240","225,594","211,238","26,548","132,798","150,662","180,538","206,194"
416,Burscough Bridge,BCB,2279,North West,West Lancashire,"93,132","94,416","99,376","107,067","111,124","102,069",[x],"136,966","155,437","178,147","194,615","211,512","215,558","222,382","219,206","210,842","219,590","227,888","233,552","241,534","241,684","216,156","217,920","51,210","140,864","165,298","167,468","166,054"
417,Burscough Junction,BCJ,2280,North West,West Lancashire,"33,810","38,329","39,822","42,044","38,196","33,106",[x],"41,198","43,276","44,642","42,518","40,850","37,754","36,570","37,380","36,464","37,814","39,226","38,396","46,854","43,406","34,936","47,908","11,590","40,584","40,270","47,946","50,780"
418,Bursledon,BUO,5927,South East,Eastleigh,"32,590","31,654","32,280","35,186","34,232","33,171",[x],"34,852","42,331","44,263","49,124","54,776","54,894","60,264","59,294","59,614","65,206","63,560","64,756","60,092","54,012","60,754","62,040","16,768","47,822","54,750","58,546","68,028"
419,Burton Joyce,BUJ,6200,East Midlands,Gedling,"7,440","7,820","8,509","7,367","8,191","8,095",[x],"7,906","9,934","10,049","9,418","7,782","5,760","7,400","6,786","6,928","5,302","5,372","8,228","11,542","16,268","16,084","15,330","1,826","6,146","9,426","11,014","13,392"
420,Burton-On-Trent,BUT,1658,West Midlands,East Staffordshire,"335,156","350,894","389,840","388,724","413,572","432,572",[x],"559,573","613,612","655,269","682,443","668,002","683,178","718,996","703,472","700,996","710,480","736,692","790,880","820,808","833,040","875,332","848,012","181,742","573,162","663,498","705,092","913,000"
421,Bury,[z],[z],[z],[z],2,1,[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z]
422,Bury St Edmunds,BSE,7008,East of England,West Suffolk,"166,576","181,021","185,675","186,823","211,096","203,996",[x],"211,468","240,952","275,403","373,740","415,914","419,782","469,500","490,154","566,110","578,007","595,638","603,518","633,362","652,080","665,112","657,942","151,514","564,972","698,282","834,744","929,244"
423,Busby,BUS,9791,Scotland,East Renfrewshire,"97,808","102,327","99,273","93,702","86,435","90,136",[x],"87,892","94,433","99,035","105,581","127,678","131,520","143,730","146,272","154,836","144,868","161,092","167,530","166,222","167,312","174,702","175,142","23,424","82,968","105,092","136,388","110,486"
424,Bush Hill Park,BHK,6913,London,Enfield,"471,704","534,110","566,748","567,841","571,558","558,587",[x],"523,950","479,449","723,256","739,732","648,074","580,542","610,532","661,200","713,604","785,642","825,372","992,280","1,037,808","1,096,702","1,104,330","1,107,834","283,412","692,138","893,678","1,143,890","1,188,288"
425,Bushey,BSH,1395,East of England,Watford,"330,860","388,722","473,623","477,387","471,479","494,455",[x],"563,255","620,562","737,058","723,486","491,710","533,866","881,958","964,610","1,059,704","1,136,518","1,240,946","1,457,950","1,472,746","1,490,134","1,520,068","1,478,460","367,978","825,582","1,000,848","1,157,470","1,225,400"
426,Butlers Lane,BUL,1179,West Midlands,Birmingham,"85,437","135,011","93,480","92,052","97,419","89,871",[x],"91,568","93,003","95,990","103,030","197,372","193,526","186,394","188,918","186,450","202,862","206,556","221,634","229,830","240,062","254,278","246,344","42,252","115,710","142,068","168,140","193,930"
427,Buxted,BXD,5324,South East,Wealden,"38,641","47,839","59,235","60,258","64,645","71,835",[x],"86,368","118,248","133,020","159,893","157,130","152,592","163,280","168,100","175,624","161,777","150,310","133,062","114,176","116,338","125,672","158,546","21,704","68,978","92,856","95,564","99,310"
428,Buxton,BUX,2946,East Midlands,High Peak,"248,055","232,498","238,981","221,009","211,862","220,247",[x],"225,066","260,931","263,772","283,681","301,320","301,432","308,856","298,328","289,182","290,486","323,676","328,734","331,220","331,776","345,596","343,686","98,236","272,226","301,568","348,876","381,872"
429,Byfleet and New Haw,BFN,5689,South East,Runnymede,"238,019","255,148","302,636","287,752","258,342","262,141",[x],"300,040","282,560","320,676","409,799","417,098","384,168","390,188","401,074","407,454","406,010","439,790","475,420","477,106","447,024","445,004","401,872","163,446","277,930","316,800","369,342","408,252"
430,Bynea,BYE,4124,Wales,Carmarthenshire - Sir Gaerfyrddin,703,752,704,524,537,550,[x],"1,064",750,906,"1,547","1,300","1,664","1,376","1,430","1,490","1,662","2,046","1,628","1,930","2,228","2,686","2,336",34,820,"1,266","1,990","2,716"
431,Cadoxton,CAD,3811,Wales,Vale of Glamorgan - Bro Morgannwg,"250,050","252,464","284,214","293,417","294,298","270,285",[x],"198,132","208,722","227,811","252,940","260,782","257,140","249,714","254,046","272,522","278,276","268,544","282,134","287,136","282,098","270,514","256,400","75,100","204,930","258,164","298,106","322,908"
432,Caergwrle,CGW,2536,Wales,Flintshire - Sir y Fflint,"28,109","29,157","29,019","28,696","26,345","21,642",[x],"25,148","21,071","20,065","21,056","19,780","23,778","22,186","21,886","24,264","24,438","23,034","19,828","18,086","17,800","17,160","15,914","3,060","7,806","9,866","9,742","14,738"
433,Caerphilly,CPH,3812,Wales,Caerphilly - Caerffili,"527,627","530,745","572,374","572,039","634,839","652,614",[x],"620,269","599,502","608,934","606,461","598,214","622,016","665,328","678,380","691,516","698,318","709,020","743,856","757,094","771,930","760,346","712,648","119,314","372,912","524,900","568,944","623,058"
434,Caersws,CWS,4412,Wales,Powys - Powys,"20,733","21,044","22,150","22,566","22,528","23,600",[x],"24,901","28,257","29,988","34,159","33,950","36,090","42,272","44,872","46,486","45,900","49,250","57,942","64,636","69,668","60,626","59,274","13,196","31,398","42,500","49,136","69,134"
435,Caldercruix,CAC,992,Scotland,North Lanarkshire,[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],"11,120","90,992","92,996","101,926","109,038","111,472","88,688","100,404","98,254","104,292","9,628","51,724","67,194","70,158","73,754"
436,Caldicot,CDT,3680,Wales,Monmouthshire - Sir Fynwy,"49,478","49,911","52,184","51,156","51,947","46,721",[x],"59,699","60,289","70,289","71,743","79,858","79,006","83,292","85,426","87,750","93,068","96,324","96,856","104,438","101,248","96,522","89,024","20,838","56,838","65,912","73,862","87,972"
437,Caledonian Road and Barnsbury,CIR,1439,London,Islington,"40,963","142,970","183,573","189,811","195,335","217,401",[x],"116,504","135,634","441,830","607,670","473,534","381,866","576,072","978,444","1,273,854","1,594,646","1,689,712","1,764,760","1,837,942","1,730,414","1,733,864","1,639,948","598,816","1,161,496","1,328,442","1,537,520","1,566,788"
438,Calstock,CSK,3562,South West,Cornwall,"23,267","21,650","24,133","22,208","24,880","25,739",[x],"24,024","21,123","23,476","26,825","30,600","33,368","33,198","32,450","30,346","35,190","33,704","33,794","35,346","37,426","37,834","34,758","10,534","27,566","31,616","34,506","38,968"
439,Cam and Dursley,CDU,3238,South West,Stroud,"61,215","58,605","55,582","52,051","53,983","50,534",[x],"64,355","72,113","92,437","114,901","131,660","136,384","153,102","162,992","166,870","177,094","185,504","193,640","201,188","188,914","191,426","225,792","42,818","131,894","182,976","207,950","239,284"
440,Camberley,CAM,5682,South East,Surrey Heath,"376,272","378,006","371,156","368,606","332,442","325,165",[x],"343,634","355,415","377,291","432,878","449,692","439,678","444,080","461,576","466,450","455,070","460,372","472,358","446,350","414,680","391,680","341,572","83,076","237,332","287,900","340,568","364,372"
441,Camborne,CBN,3504,South West,Cornwall,"105,101","107,570","112,063","105,140","101,231","109,628",[x],"146,595","157,026","181,671","193,948","215,600","224,950","247,360","275,440","279,898","283,400","280,452","269,034","262,070","255,658","266,006","277,540","118,444","280,418","295,808","333,710","372,746"
442,Cambridge,CBG,7022,East of England,Cambridge,"3,909,257","4,281,743","4,679,635","4,868,452","5,154,064","5,478,112",[x],"6,060,475","6,137,423","6,522,309","6,997,887","7,571,838","7,661,146","8,245,416","8,823,236","9,168,938","9,824,859","10,420,178","10,954,212","11,424,902","11,530,158","11,983,320","11,599,814","2,300,528","6,952,780","9,341,600","10,033,088","10,597,572"
443,Cambridge Heath,CBH,6962,London,Tower Hamlets,"3,723","76,230","74,340","75,359","84,338","101,231",[x],"46,476","43,024","114,369","173,697","150,220","152,816","223,850","266,838","296,692","357,754","402,078","646,748","765,702","774,528","786,006","774,306","252,404","601,582","771,490","1,051,058","1,050,568"
444,Cambridge North,CMB,8001,East of England,South Cambridgeshire,[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],"488,876","812,972","949,550","220,958","733,612","1,074,602","1,268,788","1,459,946"
445,Cambuslang,CBL,9768,Scotland,South Lanarkshire,"415,663","491,333","502,086","474,271","426,019","419,258",[x],"481,858","557,494","579,420","604,899","660,234","655,394","689,836","757,572","777,400","716,608","750,022","774,352","806,638","850,510","758,836","769,008","165,944","443,054","629,278","767,364","831,150"
446,Camden Road,CMD,1440,London,Camden,"199,162","763,162","920,517","954,375","1,000,405","1,087,391",[x],"577,851","688,609","2,005,886","1,935,301","1,414,848","1,193,916","1,833,296","3,085,420","3,810,066","4,736,392","4,952,576","5,120,672","5,257,708","5,016,280","4,968,410","4,560,560","1,482,204","3,071,342","3,724,674","4,290,962","4,330,314"
447,Camelon,CMO,9878,Scotland,Falkirk,"45,473","51,543","48,875","54,869","61,525","61,389",[x],"83,000","89,975","90,457","96,584","97,264","92,058","98,606","104,446","110,860","116,378","130,478","136,100","132,166","127,576","142,044","162,874","24,596","94,790","124,872","153,246","165,762"
448,Cameron Bridge,CBX,244,Scotland,Fife,[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],"45,796"
449,Canada Water,ZCW,1659,London,Southwark,[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],"2,793,891","4,883,262","6,499,764","6,213,910","10,330,664","23,643,842","25,015,768","24,997,198","23,725,794","21,797,466","5,576,276","13,644,950","16,226,090","17,517,222","18,668,762"
450,Canary Wharf,CWX,6560,London,Tower Hamlets,[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],"9,924,606","14,787,440","15,927,588"
451,Canley,CNL,1129,West Midlands,Coventry,"38,613","76,026","55,157","56,551","55,958","52,448",[x],"57,821","69,371","77,905","90,012","183,976","185,742","195,664","221,440","221,212","254,502","274,282","327,550","378,844","392,006","398,880","369,574","89,840","257,834","363,796","429,930","453,276"
452,Canning Town,[z],[z],[z],[z],"23,698","37,875","17,058","25,092","29,009","32,198",[x],"50,651","57,475","500,275",[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z]
453,Cannock,CAO,1016,West Midlands,Cannock Chase,"86,789","104,009","105,766","110,001","113,751","114,665",[x],"122,041","124,652","141,751","147,782","182,918","203,736","224,584","253,890","246,014","247,942","221,124","220,290","233,172","199,956","208,260","197,732","39,180","197,960","233,290","314,972","329,244"
454,Canonbury,CNN,1441,London,Islington,"60,092","168,265","234,860","219,591","222,191","243,368",[x],"127,763","164,672","789,228","718,793","561,388","472,010","772,976","1,784,642","2,317,888","2,741,100","2,928,630","2,859,228","3,005,382","2,975,418","3,085,176","2,885,562","913,278","1,950,210","2,349,684","2,752,422","2,834,562"
455,Canterbury East,CBE,5164,South East,Canterbury,"363,697","353,178","372,840","431,296","386,502","347,156",[x],"410,001","429,063","1,640,246","1,618,418","1,575,014","1,330,917","1,158,433","1,175,090","1,043,578","945,600","1,003,925","1,034,102","1,060,553","1,109,015","1,144,046","1,096,734","280,318","770,802","935,628","1,059,206","1,170,446"
456,Canterbury West,CBW,5007,South East,Canterbury,"1,644,080","1,725,925","1,671,022","1,705,023","1,748,911","1,792,446",[x],"2,015,286","2,172,469","1,134,891","1,351,397","1,390,831","1,464,545","1,921,370","2,132,030","2,121,098","2,223,350","2,336,199","2,406,422","2,467,975","2,580,749","2,662,266","2,552,170","652,324","1,793,700","2,177,268","2,464,836","2,723,706"
457,Cantley,CNY,7292,East of England,Broadland,"12,473","11,149","13,862","16,721","17,959","14,036",[x],"11,429","11,204","11,107","17,935","17,866","16,062","16,668","16,174","18,008","18,898","21,350","21,530","23,216","21,682","20,590","17,048","7,004","14,776","15,740","18,298","20,390"
458,Capenhurst,CPU,2186,North West,Cheshire West and Chester,"45,932","55,359","44,966","43,195","37,351","56,191",[x],"57,794","53,069","44,215","59,931","75,050","122,192","131,890","113,314","108,088","189,510","209,620","220,834","220,814","184,800","179,960","168,866","56,230","141,012","170,728","185,428","206,002"
459,Carbis Bay,CBB,3542,South West,Cornwall,"44,784","40,364","38,410","42,717","48,616","60,620",[x],"66,298","23,737","6,347","8,208","8,454","7,980","55,334","206,738","198,734","203,782","231,800","191,408","195,124","234,668","227,854","212,354","111,158","230,256","226,768","256,874","276,938"
460,Cardenden,CDD,9112,Scotland,Fife,"21,607","22,164","24,905","29,446","32,487","33,093",[x],"43,608","47,996","48,675","49,635","56,254","56,968","56,820","61,770","60,778","62,340","62,574","62,312","60,100","52,374","49,636","42,734","3,062","25,118","31,650","37,974","43,222"
461,Cardiff Bay,CDB,3815,Wales,Cardiff - Caerdydd,"93,687","98,362","123,516","136,138","163,849","177,911",[x],"245,910","274,133","404,049","518,572","594,520","685,608","753,148","793,382","869,126","1,019,348","1,143,746","1,190,780","1,242,214","1,302,676","1,531,444","1,462,962","88,028","314,932","510,964","546,878","755,714"
462,Cardiff Central,CDF,3899,Wales,Cardiff - Caerdydd,"5,858,915","5,738,681","6,457,827","6,707,944","7,479,904","7,949,395",[x],"7,743,280","8,357,732","9,126,923","9,875,014","10,485,084","10,742,546","11,259,968","11,507,598","11,637,744","11,739,630","11,939,360","12,744,582","12,534,884","12,951,702","12,934,304","12,670,920","1,975,462","7,463,378","10,185,022","11,499,126","12,513,720"
463,Cardiff Queen Street,CDQ,3900,Wales,Cardiff - Caerdydd,"1,128,656","1,208,512","1,440,708","1,479,870","1,626,309","1,841,260",[x],"2,072,551","2,126,479","2,231,784","2,486,005","2,559,748","2,437,638","2,411,438","2,488,920","2,495,238","2,462,700","2,523,314","2,643,568","2,850,984","2,912,364","2,919,214","2,694,084","472,914","1,366,108","1,713,720","1,828,790","2,010,584"
464,Cardonald,CDO,9624,Scotland,Glasgow City,"77,213","85,544","88,879","89,981","83,221","81,662",[x],"95,928","118,960","118,056","114,680","155,624","157,662","150,516","151,962","172,842","202,118","211,372","226,814","220,122","236,616","250,602","239,988","122,578","167,080","181,818","214,202","222,856"
465,Cardross,CDR,9969,Scotland,Argyll and Bute,"174,031","174,652","181,811","178,112","162,898","156,692",[x],"186,479","196,675","194,365","204,476","238,070","226,918","227,656","230,504","227,026","227,826","180,394","164,610","145,004","142,808","145,428","121,228","68,212","110,812","126,248","146,792","156,448"
466,Carfin,CRF,9877,Scotland,North Lanarkshire,"33,264","35,471","39,290","39,711","39,015","36,175",[x],"55,928","58,996","66,814","69,070","79,042","81,498","81,088","92,734","99,378","104,506","111,680","117,036","131,190","124,146","100,602","102,158","17,510","65,146","87,220","116,600","118,882"
467,Cark and Cartmel,CAK,1964,North West,Westmorland and Furness,"43,988","43,490","44,671","44,241","37,873","37,112",[x],"46,598","43,986","36,993","51,141","49,400","49,378","55,924","51,690","60,588","64,754","70,980","76,448","75,790","76,572","71,234","82,828","24,112","78,306","84,244","84,822","93,858"
468,Carlisle,CAR,2118,North West,Cumberland,"926,994","1,019,230","1,077,633","1,044,538","1,104,756","1,072,971",[x],"1,169,761","1,296,587","1,365,675","1,470,219","1,515,226","1,617,150","1,740,540","1,789,398","1,770,286","1,814,786","1,908,872","1,833,028","1,856,268","1,967,434","2,074,220","2,224,702","448,260","1,779,358","1,801,198","2,103,288","2,316,310"
469,Carlton,CTO,6201,East Midlands,Gedling,"21,646","20,701","17,155","16,786","16,893","16,642",[x],"14,621","16,609","17,732","18,329","18,938","17,344","20,112","22,372","21,410","20,298","25,168","36,344","46,578","54,282","54,632","57,552","12,254","27,610","36,846","43,120","52,580"
470,Carluke,CLU,9702,Scotland,South Lanarkshire,"168,262","204,058","212,646","208,599","192,208","189,146",[x],"225,687","253,635","267,376","274,525","291,128","282,582","313,882","328,268","345,766","369,582","392,812","396,046","428,140","420,170","405,328","399,962","35,624","154,426","230,770","287,912","292,568"
471,Carmarthen,CMN,4068,Wales,Carmarthenshire - Sir Gaerfyrddin,"248,579","250,379","257,221","261,156","268,724","283,427",[x],"288,795","294,208","323,233","348,329","365,478","367,276","398,786","421,428","434,220","418,952","428,094","419,794","426,890","416,694","383,386","361,924","76,852","256,498","292,606","374,496","439,846"
472,Carmyle,CML,9769,Scotland,Glasgow City,"61,559","60,589","55,162","54,396","58,141","56,571",[x],"79,973","100,001","102,165","106,206","118,234","124,262","127,114","135,392","143,276","132,080","131,114","132,454","155,484","137,994","121,206","134,734","28,404","82,270","92,446","122,228","129,922"
473,Carnforth,CNF,2640,North West,Lancaster,"110,164","107,814","112,957","103,958","98,461","105,046",[x],"149,649","157,240","150,824","174,644","176,918","179,602","196,972","191,306","196,470","206,590","204,196","206,572","198,270","175,378","166,556","189,000","51,772","151,484","162,400","174,598","196,102"
474,Carnoustie,CAN,9028,Scotland,Angus,"27,457","27,355","82,759","35,557","40,640","43,576",[x],"55,507","66,800","71,184","145,700","92,268","91,508","91,740","100,698","107,758","120,432","123,928","123,920","119,278","127,364","200,460","133,828","18,674","82,578","100,084","132,740","137,292"
475,Carntyne,CAY,9897,Scotland,Glasgow City,"127,258","134,508","130,014","129,044","113,591","87,204",[x],"109,529","127,606","135,375","151,327","183,710","192,872","211,206","248,400","268,616","282,822","321,442","342,154","351,572","359,828","381,342","354,000","61,828","203,020","254,530","362,438","383,786"
476,Carpenders Park,CPK,1442,East of England,Three Rivers,"364,009","368,706","347,212","373,624","370,482","352,083",[x],"366,494","380,394","460,798","420,387","263,516","343,400","705,776","750,914","824,156","884,130","958,362","1,154,092","1,189,056","1,200,976","1,186,250","1,153,106","465,982","862,578","974,748","1,073,672","1,224,684"
477,Carrbridge,CAG,8621,Scotland,Highland,"2,365","2,030","2,432","2,441","1,930","1,531",[x],"1,910","2,987","3,954","5,438","3,796","4,500","5,118","5,636","4,454","5,540","6,256","6,898","5,808","6,064","5,584","5,474","1,622","3,714","4,840","6,544","7,020"
478,Carshalton,CSH,5405,London,Sutton,"514,146","617,452","695,973","669,640","708,354","743,553",[x],"796,695","798,202","1,122,233","1,261,108","1,166,884","1,145,582","1,186,776","1,239,984","1,276,752","1,354,706","1,425,636","1,430,116","1,296,178","1,300,972","1,405,916","1,464,432","444,590","975,976","1,059,336","1,073,810","1,139,060"
479,Carshalton Beeches,CSB,5406,London,Sutton,"451,916","584,222","613,287","614,252","635,862","644,890",[x],"577,595","504,983","847,138","874,072","798,958","760,434","790,764","849,100","899,718","952,730","1,020,594","974,434","861,202","840,810","888,246","898,246","199,498","478,384","626,396","688,586","786,788"
480,Carstairs,CRS,9704,Scotland,South Lanarkshire,"7,618","7,361","7,238","6,848","7,464","9,407",[x],"12,329","14,589","13,766","13,261","13,860","11,098","10,680","13,546","20,610","33,398","43,388","84,796","95,862","84,166","62,376","60,948","4,138","6,986","13,506","28,352","31,886"
481,Cartsdyke,CDY,9680,Scotland,Inverclyde,"64,105","61,292","58,715","57,480","57,112","57,872",[x],"67,209","71,744","75,084","79,515","96,330","98,286","103,926","112,086","114,002","111,880","118,534","123,400","125,646","118,738","120,508","105,276","12,498","60,528","75,522","95,612","99,116"
482,Castle Bar Park,CBP,3098,London,Ealing,"23,751","40,571","44,626","52,564","47,067","40,678",[x],"13,522","19,893","97,263","100,705","92,768","84,868","124,492","124,362","144,182","158,806","180,504","188,120","151,942","80,386","79,866","81,088","26,778","41,128","66,670","101,564","112,884"
483,Castle Cary,CLC,5703,South West,Somerset,"124,041","142,946","153,828","156,635","110,173","151,944",[x],"183,133","193,954","171,136","227,250","231,750","235,000","259,220","276,312","233,992","244,846","245,296","241,466","244,242","251,974","222,474","278,246","50,758","240,462","311,814","309,574","354,740"
484,Castleford,CFD,8359,Yorkshire and The Humber,Wakefield,"216,893","236,867","248,825","228,208","173,507","199,028",[x],"292,839","312,423","304,485","306,220","372,046","359,410","393,776","416,752","537,898","555,244","566,420","574,844","599,134","579,282","538,708","539,210","121,070","353,258","410,456","424,144","487,384"
485,Castleton (Manchester),CAS,2919,North West,Rochdale,"61,335","49,576","60,227","66,183","62,792","61,129",[x],"80,682","85,695","87,758","100,345","122,678","120,382","126,592","153,010","150,108","143,506","148,596","148,262","170,024","167,112","178,582","172,682","35,900","78,216","95,966","132,292","141,112"
486,Castleton Moor,CSM,7914,Yorkshire and The Humber,North Yorkshire,"25,522","25,750","25,322","27,001","27,544","30,270",[x],"6,452","7,174","6,062","5,613","5,172","5,544","5,164","5,030","4,850","4,892","4,858","4,930","5,444","6,182","4,928","5,014","1,258","4,732","4,794","5,756","6,668"
487,Caterham,CAT,5351,South East,Tandridge,"439,600","488,766","515,301","513,830","548,722","568,353",[x],"640,105","685,391","755,135","833,810","882,196","909,838","967,400","1,023,972","1,028,288","1,055,698","1,065,066","1,128,196","1,007,526","1,011,822","1,027,318","990,992","209,436","479,848","571,828","568,072","584,834"
488,Catford,CTF,5077,London,Lewisham,"603,768","794,275","849,768","851,263","837,450","882,143",[x],"825,747","816,133","931,777","1,054,985","984,942","905,533","934,649","956,624","944,090","1,068,898","1,157,498","1,160,754","1,153,164","1,219,006","1,123,848","1,168,568","322,654","581,460","686,862","745,360","777,398"
489,Catford Bridge,CFB,5047,London,Lewisham,"885,411","971,416","976,536","1,007,543","1,042,936","1,071,014",[x],"834,503","788,198","1,630,661","1,738,548","1,628,636","1,652,704","1,833,319","1,815,604","1,896,018","2,029,742","2,203,494","2,402,410","2,549,568","2,574,972","2,815,980","2,756,404","696,454","1,452,454","1,833,306","2,356,720","2,512,134"
490,Cathays,CYS,3820,Wales,Cardiff - Caerdydd,"217,056","211,186","260,553","277,124","287,819","298,011",[x],"482,993","379,153","387,697","509,043","622,306","674,706","701,082","755,408","772,586","806,646","860,502","903,646","954,372","946,272","977,984","964,616","135,646","514,730","698,912","823,010","933,746"
491,Cathcart,CCT,9795,Scotland,Glasgow City,"279,593","326,942","341,595","338,887","318,685","310,190",[x],"360,093","375,286","383,753","382,029","408,956","471,572","497,766","526,526","533,628","542,832","573,548","586,512","632,276","658,616","663,772","662,128","110,860","288,468","369,082","481,464","544,872"
492,Cattal,CTL,8232,Yorkshire and The Humber,North Yorkshire,"30,241","32,869","32,652","30,382","30,956","32,315",[x],"40,587","42,442","46,285","46,806","44,946","47,234","53,188","52,552","55,780","56,961","59,948","60,234","60,646","61,406","61,356","61,562","16,242","51,422","64,446","74,534","103,416"
493,Causeland,CAU,3568,South West,Cornwall,"2,298","2,200","2,203","2,257","2,162","2,099",[x],"2,281","2,671","3,035","3,471","4,014","3,652","2,674","3,366","2,544","2,198","2,094","1,976","1,736","1,834","1,620","1,336",504,"2,040","1,588","1,800","2,108"
494,Cefn-Y-Bedd,CYB,2425,Wales,Flintshire - Sir y Fflint,"10,547","11,027","11,726","12,479","11,625","9,077",[x],"9,854","7,646","6,616","7,795","8,526","8,492","9,284","8,898","9,372","9,388","8,918","7,810","6,818","7,620","7,108","6,954","1,410","3,680","5,632","5,076","8,550"
495,Chadwell Heath,CTH,6874,London,Redbridge,"1,129,809","1,431,187","1,549,483","1,564,697","1,698,001","1,836,872",[x],"1,607,729","1,556,568","2,208,567","2,352,716","2,246,672","1,977,616","2,144,996","2,228,662","2,346,218","2,686,904","3,006,994","3,673,514","3,883,758","3,755,174","3,973,098","4,054,746","1,510,058","2,745,800","4,500,098","5,970,062","4,874,090"
496,Chafford Hundred Lakeside,CFH,7447,East of England,Thurrock,"242,799","402,131","589,547","825,279","1,049,511","1,376,386",[x],"1,651,415","1,736,350","1,953,278","2,065,829","2,032,000","1,898,824","2,085,524","2,082,542","2,085,674","2,083,828","2,273,500","2,534,474","2,723,610","2,817,544","2,911,958","2,816,408","881,722","1,916,280","2,127,970","2,331,974","2,317,972"
497,Chalfont and Latimer,CFO,539,South East,Buckinghamshire,[z],[z],[z],[z],[z],[z],[z],[z],[z],"446,522","349,370","254,398","398,650","686,488","718,276","702,438","748,158","817,372","822,284","831,716","845,664","865,584","849,242","198,200","499,944","709,356","825,202","780,010"
